partitionDate,personId,accrualCodeId,currencyCode,currentBalVestedDays,currentBalVestedHrs,currentBalVestedAmt,currentBalProbationDays,currentBalProbationHrs,currentBalProbationAmt,availableBalDays,availableBalHrs,availableBalAmt,earnedToDateDays,earnedToDateHrs,earnedToDateAmt,pendingGrantDays,pendingGrantHrs,pendingGrantAmt,plannedTakingDays,plannedTakingHrs,plannedTakingAmt,takingToDateDays,takingToDateHrs,takingToDateAmt,uniqueId,updateDtm
2026-08-17,10001,1,,,480.0,,,0.0,,,480.0,,,0.0,,,0.0,,,0.0,,,0.0,,10001:1,2026-01-06 08:01:11.753363
2025-05-12,10001,101,,,72.7333,,,0.0,,,77.1,,,0.0,,,0.0,,,8.0,,,14.0,,10001:101,2025-12-31 08:04:05.447494
2025-10-06,10001,4,,,283.25,,,0.0,,,293.7167,,,0.0,,,0.0,,,62.0,,,171.0,,10001:4,2025-12-31 08:04:11.089236
2026-07-06,10001,4,,,320.0,,,0.0,,,320.0,,,0.0,,,0.0,,,0.0,,,8.0,,10001:4,2026-01-06 08:01:20.761453
2026-05-04,10002,4,,,99.2667,,,0.0,,,99.2667,,,0.0,,,0.0,,,0.0,,,8.0,,10002:4,2026-01-06 08:01:11.809268
2026-07-13,10002,4,,,99.2667,,,0.0,,,99.2667,,,0.0,,,0.0,,,0.0,,,8.0,,10002:4,2026-01-06 08:01:20.761453
2025-12-08,10004,101,,,30.1833,,,0.0,,,32.5167,,,0.0,,,0.0,,,0.0,,,40.0,,10004:101,2025-12-31 08:04:11.089236
2026-10-19,10004,101,,,32.5167,,,0.0,,,32.5167,,,0.0,,,0.0,,,0.0,,,0.0,,10004:101,2026-01-06 08:01:20.568593
2026-11-09,10005,4,,,110.7333,,,0.0,,,110.7333,,,0.0,,,0.0,,,0.0,,,8.0,,10005:4,2026-01-06 08:01:20.568593
2025-08-04,10007,1,,,107.6,,,0.0,,,126.9667,,,0.0,,,0.0,,,0.0,,,0.0,,10007:1,2025-12-31 08:04:11.089236
2025-05-26,10007,101,,,13.65,,,0.0,,,5.65,,,0.0,,,0.0,,,43.5833,,,19.55,,10007:101,2025-12-31 08:04:05.447494
2026-08-10,10007,4,,,89.0,,,0.0,,,89.0,,,0.0,,,0.0,,,0.0,,,16.0,,10007:4,2026-01-06 08:01:20.761453
2026-09-28,10007,4,,,89.0,,,0.0,,,89.0,,,0.0,,,0.0,,,0.0,,,16.0,,10007:4,2026-01-06 08:01:20.568593
