Bus_orgId,Bus_orgName,Bus_orgFullName,Bus_orgDescription,Bus_orgEffectiveDate,Bus_orgExpirationDate,Bus_orgTypeId,Bus_orgTypeName,Bus_orgPathTxt,Bus_orgContextName,Bus_orgLocationCategory,Bus_orgBreak0,Bus_orgBreak1,Bus_orgBreak2,Bus_orgBreak3,Bus_orgBreak4,Bus_orgBreak5,Bus_orgBreak6,Bus_orgBreak7,Bus_orgBreak8,Bus_orgBreak9,Bus_orgBreak10,Bus_orgBreak11,Bus_orgBreak12,Bus_orgBreak13,Bus_orgBreak14,Bus_orgBreak15,Bus_orgBreak16,Bus_orgBreak17,Bus_orgBreak18,Bus_orgBreak19,Bus_orgBreak20,Bus_orgBreak21,Bus_orgBreak22,Bus_orgBreak23,Bus_orgBreak24,Bus_orgBreak25,Bus_orgBreak0Desc,Bus_orgBreak1Desc,Bus_orgBreak2Desc,Bus_orgBreak3Desc,Bus_orgBreak4Desc,Bus_orgBreak5Desc,Bus_orgBreak6Desc,Bus_orgBreak7Desc,Bus_orgBreak8Desc,Bus_orgBreak9Desc,Bus_orgBreak10Desc,Bus_orgBreak11Desc,Bus_orgBreak12Desc,Bus_orgBreak13Desc,Bus_orgBreak14Desc,Bus_orgBreak15Desc,Bus_orgBreak16Desc,Bus_orgBreak17Desc,Bus_orgBreak18Desc,Bus_orgBreak19Desc,Bus_orgBreak20Desc,Bus_orgBreak21Desc,Bus_orgBreak22Desc,Bus_orgBreak23Desc,Bus_orgBreak24Desc,Bus_orgBreak25Desc,Bus_directWorkPercent,Bus_indirectWorkPercent
75,PRYOR 5280,PRYOR 5280,Hillcrest Hospital Pryor,1900-01-01,3000-01-01,5,Facility,AHS/OK/OK/PRYOR 5280,ORG,Site,AHS,OK,OK,PRYOR 5280,,,,,,,,,,,,,,,,,,,,,,,Ardent,Oklahoma Division,Oklahoma,Hillcrest Hospital Pryor,,,,,,,,,,,,,,,,,,,,,,,,
389,Medical,Medical,Medical,1900-01-01,3000-01-01,6,Service Line,AHS/TX/ETX/UTT 5506/Medical,ORG,,AHS,TX,ETX,UTT 5506,Medical,,,,,,,,,,,,,,,,,,,,,,Ardent,Texas Division,East Texas,UT Health HealthFirst,Medical,,,,,,,,,,,,,,,,,,,,,,,
434,ES,ES,Emergency Services,1900-01-01,3000-01-01,6,Service Line,AHS/OK/OK/BMC 5260/ES,ORG,,AHS,OK,OK,BMC 5260,ES,,,,,,,,,,,,,,,,,,,,,,Ardent,Oklahoma Division,Oklahoma,Bailey Medical Center,Emergency Services,,,,,,,,,,,,,,,,,,,,,,,
467,CC,CC,Critical Care,1900-01-01,3000-01-01,6,Service Line,AHS/OK/OK/BMC 5260/CC,ORG,,AHS,OK,OK,BMC 5260,CC,,,,,,,,,,,,,,,,,,,,,,Ardent,Oklahoma Division,Oklahoma,Bailey Medical Center,Critical Care,,,,,,,,,,,,,,,,,,,,,,,
600,Medical,Medical,Medical,1900-01-01,3000-01-01,6,Service Line,AHS/AMER/TX/ADC 5327/Medical,ORG,,AHS,AMER,TX,ADC 5327,Medical,,,,,,,,,,,,,,,,,,,,,,Ardent,Americas Division,Texas,Amarillo Diagnostic Clinic - ML,Medical,,,,,,,,,,,,,,,,,,,,,,,
606,Cardiac,Cardiac,Cardiac Services,1900-01-01,3000-01-01,6,Service Line,AHS/AMER/NJ/PV 5440/Cardiac,ORG,,AHS,AMER,NJ,PV 5440,Cardiac,,,,,,,,,,,,,,,,,,,,,,Ardent,Americas Division,New Jersery,Hackensack Meridian Health at Pascack Valley,Cardiac Services,,,,,,,,,,,,,,,,,,,,,,,
713,Admin,Admin,Administration,1900-01-01,3000-01-01,6,Service Line,AHS/TX/ETX/UTPHY 5552/Admin,ORG,,AHS,TX,ETX,UTPHY 5552,Admin,,,,,,,,,,,,,,,,,,,,,,Ardent,Texas Division,East Texas,UTHET Physician Group - ML,Administration,,,,,,,,,,,,,,,,,,,,,,,
819,HIM - Hospital Coding - 9283,HIM - Hospital Coding - 9283,HIM - Hospital Coding - 9283,1900-01-01,3000-01-01,4,Unit,AHS/TX/ETX/UTT 5500/OPS/HIM - Hospital Coding - 9283,ORG,Department,AHS,TX,ETX,UTT 5500,OPS,HIM - Hospital Coding - 9283,,,,,,,,,,,,,,,,,,,,,Ardent,Texas Division,East Texas,UT Health Tyler,Operations,HIM - Hospital Coding - 9283,,,,,,,,,,,,,,,,,,,,,,
832,Employee Health - 9249,Employee Health - 9249,Employee Health - 9249,1900-01-01,3000-01-01,4,Unit,AHS/TX/ETX/ETHS 5501/OPS/Employee Health - 9249,ORG,Department,AHS,TX,ETX,ETHS 5501,OPS,Employee Health - 9249,,,,,,,,,,,,,,,,,,,,,Ardent,Texas Division,East Texas,East Texas Health System,Operations,Employee Health - 9249,,,,,,,,,,,,,,,,,,,,,,
1036,EMS - ALTO - 7928,EMS - ALTO - 7928,EMS - ALTO - 7928,1900-01-01,3000-01-01,4,Unit,AHS/TX/ETX/UTT 5504/Ems/EMS - ALTO - 7928,ORG,Department,AHS,TX,ETX,UTT 5504,Ems,EMS - ALTO - 7928,,,,,,,,,,,,,,,,,,,,,Ardent,Texas Division,East Texas,UT Health Tyler - EMS,Ems,EMS - ALTO - 7928,,,,,,,,,,,,,,,,,,,,,,
1534,Environmental Services - 9012,Environmental Services - 9012,Environmental Services - 9012,1900-01-01,3000-01-01,4,Unit,AHS/OK/OK/HEN 5230/SS/Environmental Services - 9012,ORG,Department,AHS,OK,OK,HEN 5230,SS,Environmental Services - 9012,,,,,,,,,,,,,,,,,,,,,Ardent,Oklahoma Division,Oklahoma,Hillcrest Hospital Henryetta,Support Services,Environmental Services - 9012,,,,,,,,,,,,,,,,,,,,,,
